date,game_pk,hitter_id,hitter,slot,team,opp_pitcher_id,opp_pitcher,season_k_pct,recent_k_pct,opp_pitcher_k_pct,park_factor,matchup_k_pct,expected_pa,proj_ks,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under,actual_ks,actual_pa,error,over_hit,over_pnl,under_pnl
2026-04-30,823634,620443,Luis Torrens,8,New York Mets,571945,Miles Mikolas,0.194,0.194,0.157,1.02,0.138,3.95,0.54,,,,,,0,,,,,,1,3,0.46,,,
2026-04-30,824929,805808,Kevin McGonigle,1,Detroit Tigers,693821,Bryce Elder,0.125,0.132,0.199,1.0,0.113,4.65,0.53,,,,,,0,,,,,,0,5,-0.53,,,
2026-04-30,824850,621493,Taylor Ward,2,Baltimore Orioles,621121,Lance McCullers Jr.,0.146,0.058,0.237,1.0,0.117,4.55,0.53,,,,,,0,,,,,,1,4,0.47,,,
2026-04-30,823471,666969,Adolis García,4,Philadelphia Phillies,605288,Adrian Houser,0.258,0.237,0.108,1.0,0.12,4.35,0.52,,,,,,0,,,,,,0,4,-0.52,,,
2026-04-30,824524,687859,Troy Johnston,9,Colorado Rockies,671096,Andrew Abbott,0.208,0.214,0.146,1.0,0.136,3.85,0.52,,,,,,0,,,,,,1,4,0.48,,,
2026-04-30,823714,665489,Vladimir Guerrero Jr.,3,Toronto Blue Jays,641927,Bailey Ober,0.117,0.155,0.195,1.01,0.116,4.45,0.52,,,,,,0,,,,,,0,2,-0.52,,,
2026-04-30,824929,571657,Kyle Farmer,7,Atlanta Braves,664285,Framber Valdez,0.154,0.154,0.182,1.0,0.124,4.05,0.5,,,,,,0,,,,,,0,3,-0.5,,,
2026-04-30,824848,621043,Carlos Correa,1,Houston Astros,605135,Chris Bassitt,0.172,0.215,0.126,1.0,0.106,4.65,0.5,,,,,,0,,,,,,1,5,0.5,,,
2026-04-30,823795,650859,Luis Rengifo,6,Milwaukee Brewers,647336,Michael Soroka,0.126,0.082,0.248,1.0,0.12,4.15,0.5,,,,,,0,,,,,,1,5,0.5,,,
2026-04-30,824929,663837,Matt Vierling,7,Detroit Tigers,693821,Bryce Elder,0.157,0.104,0.199,1.0,0.12,4.05,0.49,,,,,,0,,,,,,1,5,0.51,,,
2026-04-30,823391,687462,Spencer Horwitz,6,Pittsburgh Pirates,690928,Hunter Dobbins,0.147,0.096,0.211,1.0,0.119,4.15,0.49,,,,,,0,,,,,,0,4,-0.49,,,
2026-04-30,823634,678391,Jorbit Vivas,6,Washington Nationals,642547,Freddy Peralta,0.105,0.104,0.245,1.02,0.117,4.15,0.48,,,,,,0,,,,,,0,4,-0.48,,,
2026-04-30,823795,661388,William Contreras,3,Milwaukee Brewers,647336,Michael Soroka,0.113,0.077,0.248,1.0,0.109,4.45,0.48,,,,,,0,,,,,,0,5,-0.48,,,
