date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,opp_lineup_json,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-03,823065,2026-05-03T18:15:00Z,669160,Dustin May,Los Angeles Dodgers,True,0.169,0.176,0.066,0.229,lineup,1.0,0.16,21.6,3.95,3.43,3.46,"[{""id"": 660271, ""name"": ""Shohei Ohtani"", ""slot"": 1}, {""id"": 518692, ""name"": ""Freddie Freeman"", ""slot"": 2}, {""id"": 606192, ""name"": ""Teoscar Hernández"", ""slot"": 3}, {""id"": 663656, ""name"": ""Kyle Tucker"", ""slot"": 4}, {""id"": 571970, ""name"": ""Max Muncy"", ""slot"": 5}, {""id"": 687221, ""name"": ""Dalton Rushing"", ""slot"": 6}, {""id"": 681624, ""name"": ""Andy Pages"", ""slot"": 7}, {""id"": 808975, ""name"": ""Hyeseong Kim"", ""slot"": 8}, {""id"": 690976, ""name"": ""Alex Freeland"", ""slot"": 9}]",4.5,120,fanduel,-150,betmgm,6,0.267,0.428,-0.161,-0.414,0.222
2026-05-03,823065,2026-05-03T18:15:00Z,680736,Justin Wrobleski,St. Louis Cardinals,False,0.126,0.127,0.062,0.206,lineup,1.0,0.114,28.0,2.91,3.47,3.21,"[{""id"": 802139, ""name"": ""JJ Wetherholt"", ""slot"": 1}, {""id"": 671056, ""name"": ""Iván Herrera"", ""slot"": 2}, {""id"": 691023, ""name"": ""Jordan Walker"", ""slot"": 3}, {""id"": 676475, ""name"": ""Alec Burleson"", ""slot"": 4}, {""id"": 691026, ""name"": ""Masyn Winn"", ""slot"": 5}, {""id"": 665877, ""name"": ""José Fermín"", ""slot"": 6}, {""id"": 701675, ""name"": ""Nathan Church"", ""slot"": 7}, {""id"": 686780, ""name"": ""Pedro Pagés"", ""slot"": 8}, {""id"": 602104, ""name"": ""Ramón Urías"", ""slot"": 9}]",3.5,165,betrivers,125,bovada,7,0.4,0.569,-0.169,0.059,0.351
2026-05-03,824769,2026-05-03T17:35:00Z,624133,Ranger Suarez,Houston Astros,True,0.22,0.232,0.089,0.192,lineup,0.96,0.169,22.2,5.17,4.32,3.75,"[{""id"": 621043, ""name"": ""Carlos Correa"", ""slot"": 1}, {""id"": 670541, ""name"": ""Yordan Alvarez"", ""slot"": 2}, {""id"": 670623, ""name"": ""Isaac Paredes"", ""slot"": 3}, {""id"": 572233, ""name"": ""Christian Walker"", ""slot"": 4}, {""id"": 514888, ""name"": ""Jose Altuve"", ""slot"": 5}, {""id"": 694728, ""name"": ""Brice Matthews"", ""slot"": 6}, {""id"": 701358, ""name"": ""Cam Smith"", ""slot"": 7}, {""id"": 543877, ""name"": ""Christian Vázquez"", ""slot"": 8}, {""id"": 687957, ""name"": ""Dustin Harris"", ""slot"": 9}]",4.5,143,betrivers,112,fanduel,7,0.323,0.549,-0.226,-0.216,0.436
2026-05-03,823711,2026-05-03T16:45:00Z,657746,Joe Ryan,Toronto Blue Jays,True,0.252,0.25,0.121,0.159,lineup,1.01,0.176,22.6,5.77,4.45,3.97,"[{""id"": 682818, ""name"": ""Yohendrick Pinango"", ""slot"": 1}, {""id"": 672960, ""name"": ""Kazuma Okamoto"", ""slot"": 2}, {""id"": 665489, ""name"": ""Vladimir Guerrero Jr."", ""slot"": 3}, {""id"": 660821, ""name"": ""Jesús Sánchez"", ""slot"": 4}, {""id"": 672820, ""name"": ""Lenyn Sosa"", ""slot"": 5}, {""id"": 662139, ""name"": ""Daulton Varsho"", ""slot"": 6}, {""id"": 676391, ""name"": ""Ernie Clement"", ""slot"": 7}, {""id"": 665926, ""name"": ""Andrés Giménez"", ""slot"": 8}, {""id"": 623168, ""name"": ""Tyler Heineman"", ""slot"": 9}]",5.5,112,betonlineag,145,betrivers,6,0.21,0.452,-0.242,-0.555,0.936
2026-05-03,822742,2026-05-03T17:35:00Z,701656,Logan Henderson,Washington Nationals,False,0.333,0.333,0.0,0.2,lineup,1.0,0.297,9.0,7.67,2.99,2.67,"[{""id"": 695578, ""name"": ""James Wood"", ""slot"": 1}, {""id"": 671277, ""name"": ""Luis García Jr."", ""slot"": 2}, {""id"": 696285, ""name"": ""Jacob Young"", ""slot"": 3}, {""id"": 682928, ""name"": ""CJ Abrams"", ""slot"": 4}, {""id"": 695734, ""name"": ""Daylen Lile"", ""slot"": 5}, {""id"": 683083, ""name"": ""Nasim Nuñez"", ""slot"": 6}, {""id"": 677588, ""name"": ""José Tena"", ""slot"": 7}, {""id"": 678391, ""name"": ""Jorbit Vivas"", ""slot"": 8}, {""id"": 660688, ""name"": ""Keibert Ruiz"", ""slot"": 9}]",4.5,-115,betonlineag,-108,fanduel,6,0.133,0.507,-0.374,-0.752,0.67
2026-05-03,823711,2026-05-03T16:45:00Z,702056,Trey Yesavage,Minnesota Twins,False,0.15,0.15,0.0,0.228,lineup,1.01,0.154,20.0,3.45,3.02,3.07,"[{""id"": 621439, ""name"": ""Byron Buxton"", ""slot"": 1}, {""id"": 663616, ""name"": ""Trevor Larnach"", ""slot"": 2}, {""id"": 668885, ""name"": ""Austin Martin"", ""slot"": 3}, {""id"": 605170, ""name"": ""Victor Caratini"", ""slot"": 4}, {""id"": 807712, ""name"": ""Luke Keaschall"", ""slot"": 5}, {""id"": 665019, ""name"": ""Kody Clemens"", ""slot"": 6}, {""id"": 668904, ""name"": ""Royce Lewis"", ""slot"": 7}, {""id"": 670242, ""name"": ""Matt Wallner"", ""slot"": 8}, {""id"": 686797, ""name"": ""Brooks Lee"", ""slot"": 9}]",5.0,135,bovada,128,draftkings,6,0.092,0.495,-0.403,-0.785,1.071
2026-05-03,823307,2026-05-03T20:10:00Z,656288,Griffin Canning,Chicago White Sox,True,0.0,0.0,0.0,0.241,team,1.02,0.246,23.0,0.0,5.54,5.65,[],,,,,,0,,,,,
2026-05-03,824769,2026-05-03T17:35:00Z,675989,Cody Bolton,Boston Red Sox,False,0.25,0.231,0.0,0.215,lineup,0.96,0.223,18.4,5.57,4.31,4.1,"[{""id"": 680776, ""name"": ""Jarren Duran"", ""slot"": 1}, {""id"": 575929, ""name"": ""Willson Contreras"", ""slot"": 2}, {""id"": 701350, ""name"": ""Roman Anthony"", ""slot"": 3}, {""id"": 677800, ""name"": ""Wilyer Abreu"", ""slot"": 4}, {""id"": 655316, ""name"": ""Andruw Monasterio"", ""slot"": 5}, {""id"": 691785, ""name"": ""Marcelo Mayer"", ""slot"": 6}, {""id"": 678882, ""name"": ""Ceddanne Rafaela"", ""slot"": 7}, {""id"": 665966, ""name"": ""Carlos Narváez"", ""slot"": 8}, {""id"": 702332, ""name"": ""Caleb Durbin"", ""slot"": 9}]",,,,,,0,,,,,
2026-05-03,824285,2026-05-03T23:20:00Z,663947,Tyler Holton,Texas Rangers,True,0.145,0.0,0.086,0.242,team,1.0,0.165,23.0,3.34,3.59,3.79,[],,,,,,0,,,,,
2026-05-03,822742,2026-05-03T17:35:00Z,676571,PJ Poulin,Milwaukee Brewers,True,0.152,0.167,0.069,0.206,lineup,1.0,0.137,11.7,3.62,1.67,1.61,"[{""id"": 668930, ""name"": ""Brice Turang"", ""slot"": 1}, {""id"": 661388, ""name"": ""William Contreras"", ""slot"": 2}, {""id"": 596142, ""name"": ""Gary Sánchez"", ""slot"": 3}, {""id"": 641343, ""name"": ""Jake Bauers"", ""slot"": 4}, {""id"": 669003, ""name"": ""Garrett Mitchell"", ""slot"": 5}, {""id"": 663604, ""name"": ""Brandon Lockridge"", ""slot"": 6}, {""id"": 686217, ""name"": ""Sal Frelick"", ""slot"": 7}, {""id"": 666152, ""name"": ""David Hamilton"", ""slot"": 8}, {""id"": 687401, ""name"": ""Joey Ortiz"", ""slot"": 9}]",,,,,,0,,,,,
